chUtilizationSCH4,chUtilizationSCH4_CCH_SCH_Safety_B_100Bytes_Q_1.txt
ReceivedBroadcasts,ReceivedBroadcasts_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,37951
2,37844
3,7976
4,37655
5,30818
6,30408
7,30081
8,29784
9,29455
10,29116
11,28735
12,28167
13,27779
14,27160
15,37426
16,26509
17,19289
18,18590
19,18101
20,17602
21,16823
22,16312
23,15766
24,15176
25,14557
26,37127
27,13595
28,12607
29,10568
30,1080
31,0
32,36868
33,36479
34,36111
35,35619
36,35190
37,31206
38,36482
39,36653
40,27477
41,0
TotalLostPackets,TotalLostPackets_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,60
2,50
3,0
4,50
5,20
6,20
7,9
8,7
9,7
10,7
11,6
12,6
13,6
14,7
15,40
16,9
17,5
18,5
19,5
20,5
21,5
22,5
23,4
24,5
25,5
26,40
27,8
28,7
29,7
30,0
31,0
32,30
33,30
34,30
35,20
36,20
37,20
38,60
39,60
40,1286
41,0
SNIRLostPackets,SNIRLostPackets_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,60
2,50
3,0
4,50
5,20
6,20
7,9
8,7
9,7
10,7
11,6
12,3
13,5
14,7
15,40
16,8
17,5
18,5
19,2
20,5
21,5
22,5
23,4
24,5
25,4
26,40
27,8
28,6
29,7
30,0
31,0
32,30
33,30
34,30
35,20
36,20
37,20
38,60
39,60
40,1286
41,0
RXTXLostPackets,RXTXLostPackets_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,3
13,1
14,0
15,0
16,1
17,0
18,0
19,3
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
DroppedPacketsInMac,DroppedPacketsInMac_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,3
35,0
36,0
37,0
38,0
39,0
40,1
41,0
ReceivedUnicastPackets,ReceivedUnicastPackets_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
SentPackets,SentPackets_CCH_SCH_Safety_B_100Bytes_Q_1.txt
1,1973
2,1883
3,1995
4,1833
5,1142
6,1123
7,1102
8,1082
9,1062
10,1042
11,1025
12,994
13,973
14,942
15,1783
16,912
17,603
18,573
19,553
20,533
21,503
22,485
23,463
24,443
25,423
26,1733
27,393
28,363
29,303
30,29
31,0
32,1693
33,1643
34,1592
35,1545
36,1505
37,1173
38,1943
39,1893
40,8
41,0
